Int-Region1	Seg-Region1	Int-Region2	Seg-Region2	Int-Region4	Seg-Region4	Int-Region5	Seg-Region5	Int-No entry	Seg-No entry
(13,24,8)	(13,24,8)	(13,23,8)	(13,23,8)	(13,21,8)	(13,21,8)	(13,20,8)	(13,20,8)			
(14,24,8)	(14,24,8)	(14,23,8)	(14,23,8)	(14,21,8)	(14,21,8)	(14,20,8)	(14,20,8)			
(15,24,8)	(15,24,8)	(15,23,8)	(15,23,8)	(15,21,8)	(15,21,8)	(15,20,8)	(15,20,8)			
(16,24,8)	(16,24,8)	(16,23,8)	(16,23,8)	(16,21,8)	(16,21,8)	(16,20,8)	(16,20,8)			
(17,24,8)	(17,24,8)	(17,23,8)	(17,23,8)	(17,21,8)	(17,21,8)	(17,20,8)	(17,20,8)			
(18,24,8)	(18,24,8)	(18,23,8)	(18,23,8)	(18,21,8)	(18,21,8)	(18,20,8)	(18,20,8)			
(19,24,8)	(19,24,8)	(19,23,8)	(19,23,8)	(19,21,8)	(19,21,8)	(19,20,8)	(19,20,8)			
(20,24,8)	(20,24,8)	(20,23,8)	(20,23,8)	(20,21,8)	(20,21,8)	(20,20,8)	(20,20,8)			
(21,24,8)	(21,24,8)	(21,23,8)	(21,23,8)	(21,21,8)	(21,21,8)	(21,20,8)	(21,20,8)			
(22,24,8)	(22,24,8)	(22,23,8)	(22,23,8)	(22,21,8)	(22,21,8)	(22,20,8)	(22,20,8)			
(23,24,8)	(23,24,8)	(23,23,8)	(23,23,8)	(23,21,8)	(23,21,8)	(23,20,8)	(23,20,8)			
(24,24,8)	(24,24,8)	(24,23,8)	(24,23,8)	(24,21,8)	(24,21,8)	(24,20,8)	(24,20,8)			
(0,24,9)	(0,24,9)	(0,23,9)	(0,23,9)	(0,21,9)	(0,21,9)	(0,20,9)	(0,20,9)			
(1,24,9)	(1,24,9)	(1,23,9)	(1,23,9)	(1,21,9)	(1,21,9)	(1,20,9)	(1,20,9)			
(2,24,9)	(2,24,9)	(2,23,9)	(2,23,9)	(2,21,9)	(2,21,9)	(2,20,9)	(2,20,9)			
(3,24,9)	(3,24,9)	(3,23,9)	(3,23,9)	(3,21,9)	(3,21,9)	(3,20,9)	(3,20,9)			
(4,24,9)	(4,24,9)	(4,23,9)	(4,23,9)	(4,21,9)	(4,21,9)	(4,20,9)	(4,20,9)			
(5,24,9)	(5,24,9)	(5,23,9)	(5,23,9)	(5,21,9)	(5,21,9)	(5,20,9)	(5,20,9)			
(6,24,9)	(6,24,9)	(6,23,9)	(6,23,9)	(6,21,9)	(6,21,9)	(6,20,9)	(6,20,9)			
(7,24,9)	(7,24,9)	(7,23,9)	(7,23,9)	(7,21,9)	(7,21,9)	(7,20,9)	(7,20,9)			
(8,24,9)	(8,24,9)	(8,23,9)	(8,23,9)	(8,21,9)	(8,21,9)	(8,20,9)	(8,20,9)			
(9,24,9)	(9,24,9)	(9,23,9)	(9,23,9)	(9,21,9)	(9,21,9)	(9,20,9)	(9,20,9)			
(10,24,9)	(10,24,9)	(10,23,9)	(10,23,9)	(10,21,9)	(10,21,9)	(10,20,9)	(10,20,9)			
(11,24,9)	(11,24,9)	(11,23,9)	(11,23,9)	(11,21,9)	(11,21,9)	(11,20,9)	(11,20,9)			
(12,24,9)	(12,24,9)	(12,23,9)	(12,23,9)	(12,21,9)	(12,21,9)	(12,20,9)	(12,20,9)			
(13,24,9)	(13,24,9)	(13,23,9)	(13,23,9)	(13,21,9)	(13,21,9)	(13,20,9)	(13,20,9)			
(14,24,9)	(14,24,9)	(14,23,9)	(14,23,9)	(14,21,9)	(14,21,9)	(14,20,9)	(14,20,9)			
(15,24,9)	(15,24,9)	(15,23,9)	(15,23,9)	(15,21,9)	(15,21,9)	(15,20,9)	(15,20,9)			
(16,24,9)	(16,24,9)	(16,23,9)	(16,23,9)	(16,21,9)	(16,21,9)	(16,20,9)	(16,20,9)			
(17,24,9)	(17,24,9)	(17,23,9)	(17,23,9)	(17,21,9)	(17,21,9)	(17,20,9)	(17,20,9)			
(18,24,9)	(18,24,9)	(18,23,9)	(18,23,9)	(18,21,9)	(18,21,9)	(18,20,9)	(18,20,9)			
(19,24,9)	(19,24,9)	(19,23,9)	(19,23,9)	(19,21,9)	(19,21,9)	(19,20,9)	(19,20,9)			
(20,24,9)	(20,24,9)	(20,23,9)	(20,23,9)	(20,21,9)	(20,21,9)	(20,20,9)	(20,20,9)			
(21,24,9)	(21,24,9)	(21,23,9)	(21,23,9)	(21,21,9)	(21,21,9)	(21,20,9)	(21,20,9)			
(22,24,9)	(22,24,9)	(22,23,9)	(22,23,9)	(22,21,9)	(22,21,9)	(22,20,9)	(22,20,9)			
(23,24,9)	(23,24,9)	(23,23,9)	(23,23,9)	(23,21,9)	(23,21,9)	(23,20,9)	(23,20,9)			
(24,24,9)	(24,24,9)	(24,23,9)	(24,23,9)	(24,21,9)	(24,21,9)	(24,20,9)	(24,20,9)			
(0,24,10)	(0,24,10)	(0,23,10)	(0,23,10)	(0,21,10)	(0,21,10)	(0,20,10)	(0,20,10)			
(1,24,10)	(1,24,10)	(1,23,10)	(1,23,10)	(1,21,10)	(1,21,10)	(1,20,10)	(1,20,10)			
(2,24,10)	(2,24,10)	(2,23,10)	(2,23,10)	(2,21,10)	(2,21,10)	(2,20,10)	(2,20,10)			
(3,24,10)	(3,24,10)	(3,23,10)	(3,23,10)	(3,21,10)	(3,21,10)	(3,20,10)	(3,20,10)			
(4,24,10)	(4,24,10)	(4,23,10)	(4,23,10)	(4,21,10)	(4,21,10)	(4,20,10)	(4,20,10)			
(5,24,10)	(5,24,10)	(5,23,10)	(5,23,10)	(5,21,10)	(5,21,10)	(5,20,10)	(5,20,10)			
(6,24,10)	(6,24,10)	(6,23,10)	(6,23,10)	(6,21,10)	(6,21,10)	(6,20,10)	(6,20,10)			
(7,24,10)	(7,24,10)	(7,23,10)	(7,23,10)	(7,21,10)	(7,21,10)	(7,20,10)	(7,20,10)			
(8,24,10)	(8,24,10)	(8,23,10)	(8,23,10)	(8,21,10)	(8,21,10)	(8,20,10)	(8,20,10)			
(9,24,10)	(9,24,10)	(9,23,10)	(9,23,10)	(9,21,10)	(9,21,10)	(9,20,10)	(9,20,10)			
(10,24,10)	(10,24,10)	(10,23,10)	(10,23,10)	(10,21,10)	(10,21,10)	(10,20,10)	(10,20,10)			
(11,24,10)	(11,24,10)	(11,23,10)	(11,23,10)	(11,21,10)	(11,21,10)	(11,20,10)	(11,20,10)			
(12,24,10)	(12,24,10)	(12,23,10)	(12,23,10)	(12,21,10)	(12,21,10)	(12,20,10)	(12,20,10)			
(13,24,10)	(13,24,10)	(13,23,10)	(13,23,10)	(13,21,10)	(13,21,10)	(13,20,10)	(13,20,10)			
(14,24,10)	(14,24,10)	(14,23,10)	(14,23,10)	(14,21,10)	(14,21,10)	(14,20,10)	(14,20,10)			
(15,24,10)	(15,24,10)	(15,23,10)	(15,23,10)	(15,21,10)	(15,21,10)	(15,20,10)	(15,20,10)			
(16,24,10)	(16,24,10)	(16,23,10)	(16,23,10)	(16,21,10)	(16,21,10)	(16,20,10)	(16,20,10)			
(17,24,10)	(17,24,10)	(17,23,10)	(17,23,10)	(17,21,10)	(17,21,10)	(17,20,10)	(17,20,10)			
(18,24,10)	(18,24,10)	(18,23,10)	(18,23,10)	(18,21,10)	(18,21,10)	(18,20,10)	(18,20,10)			
(19,24,10)	(19,24,10)	(19,23,10)	(19,23,10)	(19,21,10)	(19,21,10)	(19,20,10)	(19,20,10)			
(20,24,10)	(20,24,10)	(20,23,10)	(20,23,10)	(20,21,10)	(20,21,10)	(20,20,10)	(20,20,10)			
(21,24,10)	(21,24,10)	(21,23,10)	(21,23,10)	(21,21,10)	(21,21,10)	(21,20,10)	(21,20,10)			
(22,24,10)	(22,24,10)	(22,23,10)	(22,23,10)	(22,21,10)	(22,21,10)	(22,20,10)	(22,20,10)			
(23,24,10)	(23,24,10)	(23,23,10)	(23,23,10)	(23,21,10)	(23,21,10)	(23,20,10)	(23,20,10)			
(24,24,10)	(24,24,10)	(24,23,10)	(24,23,10)	(24,21,10)	(24,21,10)	(24,20,10)	(24,20,10)			
(0,24,11)	(0,24,11)	(0,23,11)	(0,23,11)	(0,21,11)	(0,21,11)	(0,20,11)	(0,20,11)			
(1,24,11)	(1,24,11)	(1,23,11)	(1,23,11)	(1,21,11)	(1,21,11)	(1,20,11)	(1,20,11)			
(2,24,11)	(2,24,11)	(2,23,11)	(2,23,11)	(2,21,11)	(2,21,11)	(2,20,11)	(2,20,11)			
(3,24,11)	(3,24,11)	(3,23,11)	(3,23,11)	(3,21,11)	(3,21,11)	(3,20,11)	(3,20,11)			
(4,24,11)	(4,24,11)	(4,23,11)	(4,23,11)	(4,21,11)	(4,21,11)	(4,20,11)	(4,20,11)			
(5,24,11)	(5,24,11)	(5,23,11)	(5,23,11)	(5,21,11)	(5,21,11)	(5,20,11)	(5,20,11)			
(6,24,11)	(6,24,11)	(6,23,11)	(6,23,11)	(6,21,11)	(6,21,11)	(6,20,11)	(6,20,11)			
(7,24,11)	(7,24,11)	(7,23,11)	(7,23,11)	(7,21,11)	(7,21,11)	(7,20,11)	(7,20,11)			
(8,24,11)	(8,24,11)	(8,23,11)	(8,23,11)	(8,21,11)	(8,21,11)	(8,20,11)	(8,20,11)			
(9,24,11)	(9,24,11)	(9,23,11)	(9,23,11)	(9,21,11)	(9,21,11)	(9,20,11)	(9,20,11)			
(10,24,11)	(10,24,11)	(10,23,11)	(10,23,11)	(10,21,11)	(10,21,11)	(10,20,11)	(10,20,11)			
(11,24,11)	(11,24,11)	(11,23,11)	(11,23,11)	(11,21,11)	(11,21,11)	(11,20,11)	(11,20,11)			
(12,24,11)	(12,24,11)	(12,23,11)	(12,23,11)	(12,21,11)	(12,21,11)	(12,20,11)	(12,20,11)			
(13,24,11)	(13,24,11)	(13,23,11)	(13,23,11)	(13,21,11)	(13,21,11)	(13,20,11)	(13,20,11)			
(14,24,11)	(14,24,11)	(14,23,11)	(14,23,11)	(14,21,11)	(14,21,11)	(14,20,11)	(14,20,11)			
(15,24,11)	(15,24,11)	(15,23,11)	(15,23,11)	(15,21,11)	(15,21,11)	(15,20,11)	(15,20,11)			
(16,24,11)	(16,24,11)	(16,23,11)	(16,23,11)	(16,21,11)	(16,21,11)	(16,20,11)	(16,20,11)			
(17,24,11)	(17,24,11)	(17,23,11)	(17,23,11)	(17,21,11)	(17,21,11)	(17,20,11)	(17,20,11)			
(18,24,11)	(18,24,11)	(18,23,11)	(18,23,11)	(18,21,11)	(18,21,11)	(18,20,11)	(18,20,11)			
(19,24,11)	(19,24,11)	(19,23,11)	(19,23,11)	(19,21,11)	(19,21,11)	(19,20,11)	(19,20,11)			
(20,24,11)	(20,24,11)	(20,23,11)	(20,23,11)	(20,21,11)	(20,21,11)	(20,20,11)	(20,20,11)			
(21,24,11)	(21,24,11)	(21,23,11)	(21,23,11)	(21,21,11)	(21,21,11)	(21,20,11)	(21,20,11)			
(22,24,11)	(22,24,11)	(22,23,11)	(22,23,11)	(22,21,11)	(22,21,11)	(22,20,11)	(22,20,11)			
(23,24,11)	(23,24,11)	(23,23,11)	(23,23,11)	(23,21,11)	(23,21,11)	(23,20,11)	(23,20,11)			
(24,24,11)	(24,24,11)	(24,23,11)	(24,23,11)	(24,21,11)	(24,21,11)	(24,20,11)	(24,20,11)			
(0,24,12)	(0,24,12)	(0,23,12)	(0,23,12)	(0,21,12)	(0,21,12)	(0,20,12)	(0,20,12)			
(1,24,12)	(1,24,12)	(1,23,12)	(1,23,12)	(1,21,12)	(1,21,12)	(1,20,12)	(1,20,12)			
(2,24,12)	(2,24,12)	(2,23,12)	(2,23,12)	(2,21,12)	(2,21,12)	(2,20,12)	(2,20,12)			
(3,24,12)	(3,24,12)	(3,23,12)	(3,23,12)	(3,21,12)	(3,21,12)	(3,20,12)	(3,20,12)			
(4,24,12)	(4,24,12)	(4,23,12)	(4,23,12)	(4,21,12)	(4,21,12)	(4,20,12)	(4,20,12)			
(5,24,12)	(5,24,12)	(5,23,12)	(5,23,12)	(5,21,12)	(5,21,12)	(5,20,12)	(5,20,12)			
(6,24,12)	(6,24,12)	(6,23,12)	(6,23,12)	(6,21,12)	(6,21,12)	(6,20,12)	(6,20,12)			
(7,24,12)	(7,24,12)	(7,23,12)	(7,23,12)	(7,21,12)	(7,21,12)	(7,20,12)	(7,20,12)			
(8,24,12)	(8,24,12)	(8,23,12)	(8,23,12)	(8,21,12)	(8,21,12)	(8,20,12)	(8,20,12)			
(9,24,12)	(9,24,12)	(9,23,12)	(9,23,12)	(9,21,12)	(9,21,12)	(9,20,12)	(9,20,12)			
(10,24,12)	(10,24,12)	(10,23,12)	(10,23,12)	(10,21,12)	(10,21,12)	(10,20,12)	(10,20,12)			
(11,24,12)	(11,24,12)	(11,23,12)	(11,23,12)	(11,21,12)	(11,21,12)	(11,20,12)	(11,20,12)			
(12,24,12)	(12,24,12)	(12,23,12)	(12,23,12)	(12,21,12)	(12,21,12)	(12,20,12)	(12,20,12)			
(13,24,12)	(13,24,12)	(13,23,12)	(13,23,12)	(13,21,12)	(13,21,12)	(13,20,12)	(13,20,12)			
(14,24,12)	(14,24,12)	(14,23,12)	(14,23,12)	(14,21,12)	(14,21,12)	(14,20,12)	(14,20,12)			
(15,24,12)	(15,24,12)	(15,23,12)	(15,23,12)	(15,21,12)	(15,21,12)	(15,20,12)	(15,20,12)			
(16,24,12)	(16,24,12)	(16,23,12)	(16,23,12)	(16,21,12)	(16,21,12)	(16,20,12)	(16,20,12)			
(17,24,12)	(17,24,12)	(17,23,12)	(17,23,12)	(17,21,12)	(17,21,12)	(17,20,12)	(17,20,12)			
(18,24,12)	(18,24,12)	(18,23,12)	(18,23,12)	(18,21,12)	(18,21,12)	(18,20,12)	(18,20,12)			
(19,24,12)	(19,24,12)	(19,23,12)	(19,23,12)	(19,21,12)	(19,21,12)	(19,20,12)	(19,20,12)			
(20,24,12)	(20,24,12)	(20,23,12)	(20,23,12)	(20,21,12)	(20,21,12)	(20,20,12)	(20,20,12)			
(21,24,12)	(21,24,12)	(21,23,12)	(21,23,12)	(21,21,12)	(21,21,12)	(21,20,12)	(21,20,12)			
(22,24,12)	(22,24,12)	(22,23,12)	(22,23,12)	(22,21,12)	(22,21,12)	(22,20,12)	(22,20,12)			
(23,24,12)	(23,24,12)	(23,23,12)	(23,23,12)	(23,21,12)	(23,21,12)	(23,20,12)	(23,20,12)			
(24,24,12)	(24,24,12)	(24,23,12)	(24,23,12)	(24,21,12)	(24,21,12)	(24,20,12)	(24,20,12)			
(0,24,13)	(0,24,13)	(0,23,13)	(0,23,13)	(0,21,13)	(0,21,13)	(0,20,13)	(0,20,13)			
(1,24,13)	(1,24,13)	(1,23,13)	(1,23,13)	(1,21,13)	(1,21,13)	(1,20,13)	(1,20,13)			
(2,24,13)	(2,24,13)	(2,23,13)	(2,23,13)	(2,21,13)	(2,21,13)	(2,20,13)	(2,20,13)			
(3,24,13)	(3,24,13)	(3,23,13)	(3,23,13)	(3,21,13)	(3,21,13)	(3,20,13)	(3,20,13)			
(4,24,13)	(4,24,13)	(4,23,13)	(4,23,13)	(4,21,13)	(4,21,13)	(4,20,13)	(4,20,13)			
(5,24,13)	(5,24,13)	(5,23,13)	(5,23,13)	(5,21,13)	(5,21,13)	(5,20,13)	(5,20,13)			
(6,24,13)	(6,24,13)	(6,23,13)	(6,23,13)	(6,21,13)	(6,21,13)	(6,20,13)	(6,20,13)			
(7,24,13)	(7,24,13)	(7,23,13)	(7,23,13)	(7,21,13)	(7,21,13)	(7,20,13)	(7,20,13)			
(8,24,13)	(8,24,13)	(8,23,13)	(8,23,13)	(8,21,13)	(8,21,13)	(8,20,13)	(8,20,13)			
(9,24,13)	(9,24,13)	(9,23,13)	(9,23,13)	(9,21,13)	(9,21,13)	(9,20,13)	(9,20,13)			
(10,24,13)	(10,24,13)	(10,23,13)	(10,23,13)	(10,21,13)	(10,21,13)	(10,20,13)	(10,20,13)			
(11,24,13)	(11,24,13)	(11,23,13)	(11,23,13)	(11,21,13)	(11,21,13)	(11,20,13)	(11,20,13)			
(12,24,13)	(12,24,13)	(12,23,13)	(12,23,13)	(12,21,13)	(12,21,13)	(12,20,13)	(12,20,13)			
(13,24,13)	(13,24,13)	(13,23,13)	(13,23,13)	(13,21,13)	(13,21,13)	(13,20,13)	(13,20,13)			
(14,24,13)	(14,24,13)	(14,23,13)	(14,23,13)	(14,21,13)	(14,21,13)	(14,20,13)	(14,20,13)			
(15,24,13)	(15,24,13)	(15,23,13)	(15,23,13)	(15,21,13)	(15,21,13)	(15,20,13)	(15,20,13)			
(16,24,13)	(16,24,13)	(16,23,13)	(16,23,13)	(16,21,13)	(16,21,13)	(16,20,13)	(16,20,13)			
(17,24,13)	(17,24,13)	(17,23,13)	(17,23,13)	(17,21,13)	(17,21,13)	(17,20,13)	(17,20,13)			
(18,24,13)	(18,24,13)	(18,23,13)	(18,23,13)	(18,21,13)	(18,21,13)	(18,20,13)	(18,20,13)			
(19,24,13)	(19,24,13)	(19,23,13)	(19,23,13)	(19,21,13)	(19,21,13)	(19,20,13)	(19,20,13)			
(20,24,13)	(20,24,13)	(20,23,13)	(20,23,13)	(20,21,13)	(20,21,13)	(20,20,13)	(20,20,13)			
(21,24,13)	(21,24,13)	(21,23,13)	(21,23,13)	(21,21,13)	(21,21,13)	(21,20,13)	(21,20,13)			
(22,24,13)	(22,24,13)	(22,23,13)	(22,23,13)	(22,21,13)	(22,21,13)	(22,20,13)	(22,20,13)			
(23,24,13)	(23,24,13)	(23,23,13)	(23,23,13)	(23,21,13)	(23,21,13)	(23,20,13)	(23,20,13)			
(24,24,13)	(24,24,13)	(24,23,13)	(24,23,13)	(24,21,13)	(24,21,13)	(24,20,13)	(24,20,13)			
(0,24,14)	(0,24,14)	(0,23,14)	(0,23,14)	(0,21,14)	(0,21,14)	(0,20,14)	(0,20,14)			
(1,24,14)	(1,24,14)	(1,23,14)	(1,23,14)	(1,21,14)	(1,21,14)	(1,20,14)	(1,20,14)			
(2,24,14)	(2,24,14)	(2,23,14)	(2,23,14)	(2,21,14)	(2,21,14)	(2,20,14)	(2,20,14)			
(3,24,14)	(3,24,14)	(3,23,14)	(3,23,14)	(3,21,14)	(3,21,14)	(3,20,14)	(3,20,14)			
(4,24,14)	(4,24,14)	(4,23,14)	(4,23,14)	(4,21,14)	(4,21,14)	(4,20,14)	(4,20,14)			
(5,24,14)	(5,24,14)	(5,23,14)	(5,23,14)	(5,21,14)	(5,21,14)	(5,20,14)	(5,20,14)			
(6,24,14)	(6,24,14)	(6,23,14)	(6,23,14)	(6,21,14)	(6,21,14)	(6,20,14)	(6,20,14)			
(7,24,14)	(7,24,14)	(7,23,14)	(7,23,14)	(7,21,14)	(7,21,14)	(7,20,14)	(7,20,14)			
(8,24,14)	(8,24,14)	(8,23,14)	(8,23,14)	(8,21,14)	(8,21,14)	(8,20,14)	(8,20,14)			
(9,24,14)	(9,24,14)	(9,23,14)	(9,23,14)	(9,21,14)	(9,21,14)	(9,20,14)	(9,20,14)			
(10,24,14)	(10,24,14)	(10,23,14)	(10,23,14)	(10,21,14)	(10,21,14)	(10,20,14)	(10,20,14)			
(11,24,14)	(11,24,14)	(11,23,14)	(11,23,14)	(11,21,14)	(11,21,14)	(11,20,14)	(11,20,14)			
(12,24,14)	(12,24,14)	(12,23,14)	(12,23,14)	(12,21,14)	(12,21,14)	(12,20,14)	(12,20,14)			
(13,24,14)	(13,24,14)	(13,23,14)	(13,23,14)	(13,21,14)	(13,21,14)	(13,20,14)	(13,20,14)			
(14,24,14)	(14,24,14)	(14,23,14)	(14,23,14)	(14,21,14)	(14,21,14)	(14,20,14)	(14,20,14)			
(15,24,14)	(15,24,14)	(15,23,14)	(15,23,14)	(15,21,14)	(15,21,14)	(15,20,14)	(15,20,14)			
(16,24,14)	(16,24,14)	(16,23,14)	(16,23,14)	(16,21,14)	(16,21,14)	(16,20,14)	(16,20,14)			
(17,24,14)	(17,24,14)	(17,23,14)	(17,23,14)	(17,21,14)	(17,21,14)	(17,20,14)	(17,20,14)			
(18,24,14)	(18,24,14)	(18,23,14)	(18,23,14)	(18,21,14)	(18,21,14)	(18,20,14)	(18,20,14)			
(19,24,14)	(19,24,14)	(19,23,14)	(19,23,14)	(19,21,14)	(19,21,14)	(19,20,14)	(19,20,14)			
(20,24,14)	(20,24,14)	(20,23,14)	(20,23,14)	(20,21,14)	(20,21,14)	(20,20,14)	(20,20,14)			
(21,24,14)	(21,24,14)	(21,23,14)	(21,23,14)	(21,21,14)	(21,21,14)	(21,20,14)	(21,20,14)			
(22,24,14)	(22,24,14)	(22,23,14)	(22,23,14)	(22,21,14)	(22,21,14)	(22,20,14)	(22,20,14)			
(23,24,14)	(23,24,14)	(23,23,14)	(23,23,14)	(23,21,14)	(23,21,14)	(23,20,14)	(23,20,14)			
(24,24,14)	(24,24,14)	(24,23,14)	(24,23,14)	(24,21,14)	(24,21,14)	(24,20,14)	(24,20,14)			
(0,24,15)	(0,24,15)	(0,23,15)	(0,23,15)	(0,21,15)	(0,21,15)	(0,20,15)	(0,20,15)			
(1,24,15)	(1,24,15)	(1,23,15)	(1,23,15)	(1,21,15)	(1,21,15)	(1,20,15)	(1,20,15)			
(2,24,15)	(2,24,15)	(2,23,15)	(2,23,15)	(2,21,15)	(2,21,15)	(2,20,15)	(2,20,15)			
(3,24,15)	(3,24,15)	(3,23,15)	(3,23,15)	(3,21,15)	(3,21,15)	(3,20,15)	(3,20,15)			
(4,24,15)	(4,24,15)	(4,23,15)	(4,23,15)	(4,21,15)	(4,21,15)	(4,20,15)	(4,20,15)			
(5,24,15)	(5,24,15)	(5,23,15)	(5,23,15)	(5,21,15)	(5,21,15)	(5,20,15)	(5,20,15)			
(6,24,15)	(6,24,15)	(6,23,15)	(6,23,15)	(6,21,15)	(6,21,15)	(6,20,15)	(6,20,15)			
(7,24,15)	(7,24,15)	(7,23,15)	(7,23,15)	(7,21,15)	(7,21,15)	(7,20,15)	(7,20,15)			
(8,24,15)	(8,24,15)	(8,23,15)	(8,23,15)	(8,21,15)	(8,21,15)	(8,20,15)	(8,20,15)			
(9,24,15)	(9,24,15)	(9,23,15)	(9,23,15)	(9,21,15)	(9,21,15)	(9,20,15)	(9,20,15)			
(10,24,15)	(10,24,15)	(10,23,15)	(10,23,15)	(10,21,15)	(10,21,15)	(10,20,15)	(10,20,15)			
(11,24,15)	(11,24,15)	(11,23,15)	(11,23,15)	(11,21,15)	(11,21,15)	(11,20,15)	(11,20,15)			
(12,24,15)	(12,24,15)	(12,23,15)	(12,23,15)	(12,21,15)	(12,21,15)	(12,20,15)	(12,20,15)			
(13,24,15)	(13,24,15)	(13,23,15)	(13,23,15)	(13,21,15)	(13,21,15)	(13,20,15)	(13,20,15)			
(14,24,15)	(14,24,15)	(14,23,15)	(14,23,15)	(14,21,15)	(14,21,15)	(14,20,15)	(14,20,15)			
(15,24,15)	(15,24,15)	(15,23,15)	(15,23,15)	(15,21,15)	(15,21,15)	(15,20,15)	(15,20,15)			
(16,24,15)	(16,24,15)	(16,23,15)	(16,23,15)	(16,21,15)	(16,21,15)	(16,20,15)	(16,20,15)			
(17,24,15)	(17,24,15)	(17,23,15)	(17,23,15)	(17,21,15)	(17,21,15)	(17,20,15)	(17,20,15)			
(18,24,15)	(18,24,15)	(18,23,15)	(18,23,15)	(18,21,15)	(18,21,15)	(18,20,15)	(18,20,15)			
(19,24,15)	(19,24,15)	(19,23,15)	(19,23,15)	(19,21,15)	(19,21,15)	(19,20,15)	(19,20,15)			
(20,24,15)	(20,24,15)	(20,23,15)	(20,23,15)	(20,21,15)	(20,21,15)	(20,20,15)	(20,20,15)			
(21,24,15)	(21,24,15)	(21,23,15)	(21,23,15)	(21,21,15)	(21,21,15)	(21,20,15)	(21,20,15)			
(22,24,15)	(22,24,15)	(22,23,15)	(22,23,15)	(22,21,15)	(22,21,15)	(22,20,15)	(22,20,15)			
(23,24,15)	(23,24,15)	(23,23,15)	(23,23,15)	(23,21,15)	(23,21,15)	(23,20,15)	(23,20,15)			
(24,24,15)	(24,24,15)	(24,23,15)	(24,23,15)	(24,21,15)	(24,21,15)	(24,20,15)	(24,20,15)			
(0,24,16)	(0,24,16)	(0,23,16)	(0,23,16)	(0,21,16)	(0,21,16)	(0,20,16)	(0,20,16)			
(1,24,16)	(1,24,16)	(1,23,16)	(1,23,16)	(1,21,16)	(1,21,16)	(1,20,16)	(1,20,16)			
(2,24,16)	(2,24,16)	(2,23,16)	(2,23,16)	(2,21,16)	(2,21,16)	(2,20,16)	(2,20,16)			
(3,24,16)	(3,24,16)	(3,23,16)	(3,23,16)	(3,21,16)	(3,21,16)	(3,20,16)	(3,20,16)			
(4,24,16)	(4,24,16)	(4,23,16)	(4,23,16)	(4,21,16)	(4,21,16)	(4,20,16)	(4,20,16)			
(5,24,16)	(5,24,16)	(5,23,16)	(5,23,16)	(5,21,16)	(5,21,16)	(5,20,16)	(5,20,16)			
(6,24,16)	(6,24,16)	(6,23,16)	(6,23,16)	(6,21,16)	(6,21,16)	(6,20,16)	(6,20,16)			
(7,24,16)	(7,24,16)	(7,23,16)	(7,23,16)	(7,21,16)	(7,21,16)	(7,20,16)	(7,20,16)			
(8,24,16)	(8,24,16)	(8,23,16)	(8,23,16)	(8,21,16)	(8,21,16)	(8,20,16)	(8,20,16)			
(9,24,16)	(9,24,16)	(9,23,16)	(9,23,16)	(9,21,16)	(9,21,16)	(9,20,16)	(9,20,16)			
(10,24,16)	(10,24,16)	(10,23,16)	(10,23,16)	(10,21,16)	(10,21,16)	(10,20,16)	(10,20,16)			
(11,24,16)	(11,24,16)	(11,23,16)	(11,23,16)	(11,21,16)	(11,21,16)	(11,20,16)	(11,20,16)			
(12,24,16)	(12,24,16)	(12,23,16)	(12,23,16)	(12,21,16)	(12,21,16)	(12,20,16)	(12,20,16)			
(13,24,16)	(13,24,16)	(13,23,16)	(13,23,16)	(13,21,16)	(13,21,16)	(13,20,16)	(13,20,16)			
(14,24,16)	(14,24,16)	(14,23,16)	(14,23,16)	(14,21,16)	(14,21,16)	(14,20,16)	(14,20,16)			
(15,24,16)	(15,24,16)	(15,23,16)	(15,23,16)	(15,21,16)	(15,21,16)	(15,20,16)	(15,20,16)			
(16,24,16)	(16,24,16)	(16,23,16)	(16,23,16)	(16,21,16)	(16,21,16)	(16,20,16)	(16,20,16)			
(17,24,16)	(17,24,16)	(17,23,16)	(17,23,16)	(17,21,16)	(17,21,16)	(17,20,16)	(17,20,16)			
(18,24,16)	(18,24,16)	(18,23,16)	(18,23,16)	(18,21,16)	(18,21,16)	(18,20,16)	(18,20,16)			
(19,24,16)	(19,24,16)	(19,23,16)	(19,23,16)	(19,21,16)	(19,21,16)	(19,20,16)	(19,20,16)			
(20,24,16)	(20,24,16)	(20,23,16)	(20,23,16)	(20,21,16)	(20,21,16)	(20,20,16)	(20,20,16)			
(21,24,16)	(21,24,16)	(21,23,16)	(21,23,16)	(21,21,16)	(21,21,16)	(21,20,16)	(21,20,16)			
(22,24,16)	(22,24,16)	(22,23,16)	(22,23,16)	(22,21,16)	(22,21,16)	(22,20,16)	(22,20,16)			
(23,24,16)	(23,24,16)	(23,23,16)	(23,23,16)	(23,21,16)	(23,21,16)	(23,20,16)	(23,20,16)			
(24,24,16)	(24,24,16)	(24,23,16)	(24,23,16)	(24,21,16)	(24,21,16)	(24,20,16)	(24,20,16)			
(0,24,17)	(0,24,17)	(0,23,17)	(0,23,17)	(0,21,17)	(0,21,17)	(0,20,17)	(0,20,17)			
(1,24,17)	(1,24,17)	(1,23,17)	(1,23,17)	(1,21,17)	(1,21,17)	(1,20,17)	(1,20,17)			
